crop_disease,Disadvantages,First_Aid_Short_Term,First_Aid_Long_Term,Pesticides/ Treatments,Maintenance_Recommendations
Grape_Esca(Black Measles),Causes leaves to wilt and die; can lead to vine death if left unchecked.,Prune and destroy infected vines.,Use resistant grape varieties.,Apply fungicides like tebuconazole or flusilazole.,Regular monitoring and removal of affected vines.
Grape_LeafBlight,"Causes yellowing and necrosis of leaves, weakening the plant and reducing yield.",Prune and remove infected leaves.,Grow resistant varieties and improve soil health.,Apply fungicides like copper-based solutions or mancozeb.,Prune regularly and maintain proper soil health.
Grape_healthy,No symptoms or diseases.,No treatment needed.,Maintain general plant health practices.,None required.,Regular monitoring for pests and diseases.
Potato_healthy,No symptoms or diseases.,No treatment needed.,General good care and monitoring.,None required.,Regular monitoring and care.
Potato_LateBlight,"Causes water-soaked lesions on leaves, stems, and tubers, leading to crop destruction.",Remove and destroy infected plant parts.,Use resistant potato varieties and proper crop rotation.,Apply fungicides like metalaxyl or mancozeb.,Avoid overhead irrigation and ensure proper field drainage.
Potato_EarlyBlight,"Causes lesions on leaves, reducing photosynthesis and yield.",Remove infected leaves and tubers.,Use resistant varieties and practice crop rotation.,Apply fungicides like chlorothalonil or mancozeb.,Practice crop rotation and avoid over-irrigation.
Maize_CommonRust,Reduces photosynthesis and grain yield due to pustules on leaves; weakens the plant.,Remove heavily infected plants.,Plant rust-resistant maize hybrids.,Apply fungicides like propiconazole or tebuconazole early when symptoms appear.,Implement crop rotation; ensure proper fertilization to strengthen plants.
Maize_fallarmyworm,"Causes significant damage to leaves and ears, reducing yield and quality.",Hand-pick caterpillars and destroy them.,Use resistant maize varieties and pheromone traps.,Use insecticides like spinosad or lambda-cyhalothrin.,Regular field monitoring and early intervention for pests.
Maize_CercosporaLeafSpot,"Causes lesions on leaves, affecting photosynthesis and reducing yield.",Remove infected leaves.,Use resistant varieties and avoid overhead irrigation.,Apply fungicides like azoxystrobin or chlorothalonil.,Ensure proper spacing and maintain field hygiene.
Maize_NorthernLeafBlight,"Causes long, dark lesions on leaves, reducing yield and vigor.",Remove and destroy infected leaves.,Use resistant varieties and practice crop rotation.,Use fungicides like tebuconazole or pyraclostrobin.,Practice crop rotation and proper field sanitation.
Maize_streakvirus,"Causes streaks on leaves, stunting plant growth and reducing yield.",Remove infected plants.,Plant resistant maize varieties.,"No chemical treatment available, focus on resistant varieties.",Use clean seed and control vector insects like thrips.
Maize_healthy,No symptoms or diseases.,No treatment needed.,General good care and monitoring.,None required.,Regular monitoring for pests and diseases.
Peach_BacterialSpot,"Causes lesions on leaves and fruit, reducing yield and quality.",Prune affected branches and remove infected fruit.,Use resistant varieties and avoid overhead irrigation.,Apply copper-based bactericides or streptomycin.,Ensure proper air circulation and spacing between trees.
Peach_healthy,No symptoms or diseases.,No treatment needed.,Maintain general plant health practices.,None required.,Regular monitoring for pests and diseases.
Rice_BacterialLeafBlight,"Causes wilting, yellowing, and leaf death, leading to reduced yield.",Remove infected plants and destroy them.,Use resistant varieties and practice proper spacing.,Apply bactericides like copper sulfate or streptomycin.,Maintain good field drainage and practice proper fertilization.
Rice_BrownSpot,"Causes yellow spots on leaves, reducing photosynthesis and yield.",Remove infected leaves and plant parts.,Use resistant varieties and avoid waterlogging.,Use fungicides like tricyclazole or mancozeb.,Ensure proper field drainage and avoid overcrowding.
Rice_Hispa,"Causes feeding damage to leaves, leading to reduced yield.",Remove and destroy infected plants.,Use resistant varieties and insect control measures.,Use insecticides like imidacloprid or thiamethoxam.,Monitor fields regularly for early signs of pest infestation.
Rice_LeafBlast,"Causes lesions on leaves and stems, reducing yield and quality.",Prune and remove infected parts.,Use resistant varieties and improve field drainage.,Apply fungicides like tricyclazole or azoxystrobin.,Practice crop rotation and field sanitation.
Rice_LeafSmut,"Causes black lesions on leaves, reducing yield and quality.",Remove infected plants and destroy them.,Use resistant varieties and improve soil health.,Apply fungicides like azoxystrobin or propiconazole.,Regular field monitoring and appropriate water management.
Strawberry_LeafScorch,"Causes yellowing and necrosis of leaves, reducing yield and fruit quality.",Remove infected leaves.,Ensure proper spacing and soil drainage.,Apply fungicides containing copper or sulfur.,Ensure good air circulation and regular watering.
Strawberry_healthy,No symptoms or diseases.,No treatment needed.,General good care and monitoring.,None required.,Regular monitoring and care.
Tomato_Bacterialspot,"Causes lesions and fruit rot, reducing yield and quality.",Remove and destroy infected parts.,Use resistant varieties and ensure good irrigation practices.,Apply copper-based bactericides or streptomycin.,Maintain proper field hygiene and spacing.
Tomato_EarlyBlight,"Causes lesions on leaves and stems, reducing yield and quality.",Remove and destroy infected leaves and stems.,Use resistant varieties and ensure proper spacing.,Apply fungicides like chlorothalonil or mancozeb.,Practice crop rotation and proper field care.
Tomato_leaf_blight,"Causes wilting and yellowing of leaves, leading to reduced yield.",Remove affected leaves and stems.,Use resistant varieties and maintain soil health.,Apply fungicides like chlorothalonil or copper-based solutions.,Regular field monitoring and care.
Tomato_LeafCurl,"Causes curled leaves, reducing plant vigor and yield.",Remove and destroy affected leaves.,Use resistant varieties and ensure good irrigation.,Use insecticides to control vector insects like thrips.,Ensure good air circulation and maintain field hygiene.
Tomato_SeptoriaLeafSpot,"Causes lesions on leaves, reducing photosynthesis and yield.",Remove and destroy infected leaves.,Use resistant varieties and maintain proper irrigation.,Apply fungicides containing chlorothalonil or copper.,Regular pruning and field hygiene.
Tomato_LeafCurl,"Causes curled leaves, reducing plant vigor and yield.",Remove and destroy affected leaves.,Use resistant varieties and ensure good irrigation practices.,Use insecticides to control vector insects like thrips.,Ensure good air circulation and maintain field hygiene.
Tomato_SeptoriaLeafSpot,"Causes lesions on leaves, reducing photosynthesis and yield.",Remove and destroy infected leaves.,Use resistant varieties and maintain proper irrigation.,Apply fungicides containing chlorothalonil or copper.,Regular pruning and field hygiene.
Tomato_VerticuliumWilt,"Causes wilting and yellowing of leaves, weakening the plant and reducing yield.",Prune and remove infected parts of the plant.,Use resistant varieties and improve soil drainage.,Apply fungicides like tebuconazole or flusilazole.,Avoid waterlogging and improve soil drainage.
Tomato_healthy,No symptoms or diseases.,No treatment needed.,General good care and monitoring.,None required.,Regular monitoring and care.
,,,,,
,,,,,
,,,,,
,,,,,
4o,,,,,
